date,spoke,kurt,url
2026-05-22,N,N,
2026-05-23,N,N,
2026-05-24,N,N,
2026-05-25,N,N,
2026-05-26,N,N,
2026-05-27,N,N,
2026-05-28,N,N,
2026-05-29,N,N,
2026-05-30,Y,N,https://chp.org.tr/haberler/chp-genel-baskani-kemal-kilicdaroglunun-halkla-bayramlasma-programinda-yaptigi-konusma
2026-05-31,N,N,
2026-06-01,N,N,
2026-06-02,N,N,
2026-06-03,N,N,
2026-06-04,Y,N,https://chp.org.tr/haberler/chp-genel-baskani-kemal-kilicdaroglu-muratpasa-belediye-baskani-umit-uysali-kabul-etti
2026-06-05,Y,N,https://chp.org.tr/haberler/chp-genel-baskani-kemal-kilicdaroglu-myk-toplantisina-baskanlik-etti-1
2026-06-06,N,N,
2026-06-07,Y,N,https://chp.org.tr/haberler/chp-genel-baskani-kemal-kilicdaroglundan-fenerbahce-baskani-aziz-yildirima-tebrik-mesaji
2026-06-08,Y,N,https://chp.org.tr/haberler/chp-genel-baskani-kemal-kilicdaroglu-tum-orgutumuzu-yarinki-grup-toplantimizda-tek-yurek-olmaya-davet-ediyorum
2026-06-09,Y,Y,https://chp.org.tr/haberler/chp-genel-baskani-kemal-kilicdaroglu-benim-koltuk-derdim-yok-ahlakli-erdemli-bir-kurultayi-elbette-yapacagiz
2026-06-10,N,N,
2026-06-11,Y,N,https://chp.org.tr/haberler/chp-genel-baskani-kemal-kilicdaroglu-chp-parti-meclisi-toplantisina-baskanlik-etti
2026-06-12,Y,N,https://chp.org.tr/haberler/cumhuriyet-halk-partisi-genel-baskani-kemal-kilicdaroglu-lgsye-girecek-ogrencilere-basarilar-diledi
2026-06-13,N,N,
2026-06-14,Y,N,https://chp.org.tr/haberler/chp-genel-baskani-kemal-kilicdaroglundan-ozsen-madencilik-scilerine-ve-ozel-sektor-ogretmenlerine-destek
2026-06-15,Y,N,https://chp.org.tr/haberler/chp-genel-baskani-kemal-kilicdaroglu-magdur-aileyi-makaminda-kabul-etti-chp-sikayetinden-vazgecti
2026-06-16,Y,N,https://chp.org.tr/haberler/cumhuriyet-halk-partisi-genel-baskani-kemal-kilicdaroglundan-muharrem-ayi-mesaji
2026-06-17,N,N,
2026-06-18,N,N,
2026-06-19,N,N,
2026-06-20,Y,N,https://chp.org.tr/haberler/chp-genel-baskani-kemal-kilicdaroglu-dokunulmazliklarin-kaldirilmasi-sureci-ve-carpitilmak-stenen-gercekler
